Count,Name,Foil,Edition,Condition,Language,MKM Price
1,Disciplined Duelist (Showcase),,Streets of New Capenna,NM,English,
2,Discordant Piper,,Theros: Beyond Death,NM,English,
1,Disdainful Stroke,,Kaldheim,NM,English,
2,Disdainful Stroke,,Streets of New Capenna,NM,English,
1,Disenchant,,Core Set 2020,NM,English,
2,Dismal Backwater,,Core Set 2021,NM,English,
1,Dismantling Blow,,Modern Horizons,NM,English,
1,Dismiss,,Commander 2014,NM,English,
1,Dissolve,,Theros,NM,German,
1,Divination,,Born of the Gods,SP,English,
2,Divine Arrow,,War of the Spark,NM,English,
1,Divine Arrow,,Ikoria: Lair of Behemoths,NM,English,
1,Divine Gambit,,Kaldheim,NM,English,
1,Divine Gambit (Borderless),,Strixhaven Mystical Archive,NM,English,
1,Divine Smite,,Adventures in the Forgotten Realms,NM,English,
1,Diviner's Lockbox,,Core Set 2020,NM,English,
1,Djinn of the Fountain,,Dominaria United,NM,English,
1,Djinn of Wishes,,Magic 2010 Core Set,SP,English,
2,Djinni Windseer,,Adventures in the Forgotten Realms,NM,English,
2,Djinni Windseer (Showcase),,Adventures in the Forgotten Realms,NM,English,
1,Dogged Pursuit,,Kaldheim,NM,English,
1,Dokuchi Shadow-Walker (Showcase),foil,Kamigawa: Neon Dynasty,NM,English,
1,Dominate,,Commander 2015,NM,English,
3,Doomskar Oracle,,Kaldheim,NM,English,
1,Doomwake Giant,foil,Journey into Nyx,SP,English,
1,Dormant Volcano,,Commander 2014,NM,English,
1,Dragon's Fire,,Adventures in the Forgotten Realms,NM,English,
1,Dragonlord Atarka,,Dragons of Tarkir,NM,English,
1,Dragonscale General,,Fate Reforged,NM,German,
1,Dragur's Helm,,Kaldheim,NM,English,
1,Draining Whelk,,Time Spiral,SP,English,
2,Dramatist's Puppet,,Kamigawa: Neon Dynasty,NM,English,
2,Drannith Healer,,Ikoria: Lair of Behemoths,NM,English,
1,Drannith Magistrate,foil,Ikoria: Lair of Behemoths,NM,English,
3,Drannith Stinger,,Ikoria: Lair of Behemoths,NM,English,
1,Draugr Recruiter,,Kaldheim,NM,English,
2,Draugr Thought-Thief,,Kaldheim,NM,English,
4,Dread Rider,,Kaldheim,NM,English,
1,Dreadbore,,Return to Ravnica,SP,English,
1,Dreadhorde Butcher,,War of the Spark,NM,English,
1,Dreadwurm,,Zendikar Rising,NM,English,
1,Dreadwurm (Showcase),,Zendikar Rising,NM,English,
1,Dreadwurm (Showcase),foil,Zendikar Rising,NM,English,
1,Dream Strix,foil,Strixhaven: School of Mages,NM,English,
1,Dreamstalker Manticore,,Theros: Beyond Death,NM,English,
1,Dreamstone Hedron,,Commander 2017,NM,English,
2,Dreamtail Heron,,Ikoria: Lair of Behemoths,NM,English,
1,Dreamtail Heron (Alternate Art),,Ikoria: Lair of Behemoths,NM,English,
2,Drey Keeper,,Modern Horizons 2,NM,English,
1,Drogskol Infantry // Drogskol Armaments,,Innistrad: Crimson Vow,NM,English,
1,Drown in Sorrow,,Born of the Gods,NM,English,
3,Drownyard Amalgam,,Innistrad Midnight Hunt,NM,English,
1,Drowsing Tyrannodon,,Core Set 2021,NM,English,
1,Dryad's Revival,,Innistrad Midnight Hunt,NM,English,
1,Dub,,Core Set 2021,NM,English,
3,Duel for Dominance,,Innistrad Midnight Hunt,NM,English,
1,Duelcraft Trainer,,Innistrad Midnight Hunt,NM,English,
1,Dueling Coach,,Strixhaven: School of Mages,NM,English,
1,Duneblast,,Khans of Tarkir,SP,English,
1,Dungeo Geists,,Core Set 2020,NM,English,
2,Duress,,Core Set 2021,NM,English,
1,Durkwood Baloth,,Time Spiral Remastered,NM,English,
1,Dusk // Dawn,,Amonkhet,NM,English,
1,Duskfang Mentor,,Ikoria: Lair of Behemoths,NM,English,
2,Duskmantle Operative,,War of the Spark,NM,English,
2,Duskshell Crawler,,Modern Horizons 2,NM,English,
3,Duskwielder,,Kaldheim,NM,English,
5,Dwarfhold Champion,,Adventures in the Forgotten Realms,NM,English,
1,Dwarven Reinforcements,,Kaldheim,NM,English,
2,Eager First-Year,,Strixhaven: School of Mages,NM,English,
3,Eccentric Farmer,,Innistrad Midnight Hunt,NM,English,
1,Echo Inspector,,Streets of New Capenna,NM,English,
1,Echoing Decay,,Darksteel,NM,English,
1,Ecologist's Terrarium,,Kamigawa: Neon Dynasty,NM,English,
1,"Egon, God of Death",foil,Kaldheim,NM,English,
2,Eidolon of Philosophy,,Theros: Beyond Death,NM,English,
2,Elderfang Disciple,,Kaldheim,NM,English,
2,Elderleaf Mentor,,Kaldheim,NM,English,
1,Electric Revelation,,Innistrad Midnight Hunt,NM,English,
4,Elemental Masterpiece,,Strixhaven: School of Mages,NM,English,
2,Elemental Summoning,,Strixhaven: School of Mages,NM,English,
3,Elfhame Wurm,,Dominaria United,NM,English,
1,Elite Instructor,,Theros: Beyond Death,NM,English,
3,Elturgard Ranger,,Adventures in the Forgotten Realms,NM,English,
1,Elven Bow,,Kaldheim,NM,English,
1,Elvish Hydromancer,,Dominaria United,NM,English,
1,Embereth Shieldbreaker,,Throne of Eldraine Promos,NM,English,
1,Emeria Captain,,Zendikar Rising,NM,English,
1,"Emmara, Soul of the Accord",,Guilds of Ravnica,NM,English,
3,Enduring Sliver,,Modern Horizons,NM,English,
1,Enemy of Enlightenment,,Theros: Beyond Death,NM,English,
3,Enforcer Griffin,,War of the Spark,NM,English,
1,Enormous Energy Blade,,Kamigawa: Neon Dynasty,NM,English,
1,Environmental Sciences,,Strixhaven: School of Mages,NM,English,
1,Epic Confrontation,,Dragons of Tarkir,NM,English,
1,Epiphany at the Drownyard,,Shadows over Innistrad,NM,German,
1,Errant Ephemeron,,Time Spiral Remastered,NM,English,
1,Erratic Visionary,,War of the Spark,NM,English,
4,Essence Infusion,,Strixhaven: School of Mages,NM,English,
2,Essence Symbiote,,Ikoria: Lair of Behemoths,NM,English,
2,Estatic Awakener // Awoken Demon,,Innistrad Midnight Hunt,NM,English,
2,Etherium Spinner,,Modern Horizons 2,NM,English,
1,Eureka Moment,,Strixhaven: School of Mages,NM,English,
1,Eutropia the Twice-Favored,,Theros: Beyond Death,NM,English,
1,Evasive Action,,Apocalypse,SP,English,
1,Everquill Phoenix (Alternate Art),foil,Ikoria: Lair of Behemoths,NM,English,
1,Evolutionary Escalation,,Commander 2016,NM,English,
1,Evolving Door,,Streets of New Capenna,NM,English,
2,Evolving Wilds,,Conspiracy: Take the Crown,NM,English,
2,Evolving Wilds,,Ikoria: Lair of Behemoths,NM,English,
3,Excavated Wall,,Strixhaven: School of Mages,NM,English,
2,Excavating Anurid,,Modern Horizons,NM,English,
3,Excavation Mole,,Ikoria: Lair of Behemoths,NM,English,
1,Exclude,,Commander 2014,NM,German,
4,Exhilarating Elocution,,Strixhaven: School of Mages,NM,English,
1,Exihibition Magician,,Streets of New Capenna,NM,English,
1,Expanded Anatomy,,Strixhaven: School of Mages,NM,English,
1,Expedition Diviner,,Zendikar Rising,NM,English,
1,Expedition Skulker,,Zendikar Rising,NM,English,
5,Expel,,Strixhaven: School of Mages,NM,English,
1,Experimental Aviator,foil,Kaladesh,NM,English,
1,Explosive Entry,,Kamigawa: Neon Dynasty,NM,English,
1,Extinction Event,,Ikoria: Lair of Behemoths,NM,English,
2,Extinguish the Light,,Dominaria United,NM,English,
1,Extruder,,Modern Horizons 2,NM,English,
1,Exuberant Wolfbear,,Ikoria: Lair of Behemoths,NM,English,
3,Eye Collector,,Throne of Eldraine,NM,English,
1,Eyes of the Beholder,,Adventures in the Forgotten Realms,NM,English,
1,Fade into Antiquity,,Conspiracy: Take the Crown,NM,English,
1,Fairgrounds Patrol,,Modern Horizons 2,NM,English,
1,Faith Unbroken,foil,Eldritch Moon,NM,English,
2,Faithless Salvaging (Showcase),,Modern Horizons 2,NM,English,
1,Falconer Adept,,Core Set 2021,NM,English,
2,Falkenrath Celebrants,,Innistrad: Crimson Vow,NM,English,
2,Falkenrath Predator,,Innistrad Midnight Hunt,NM,English,
1,Fallow Earth,,Mirage,NM,English,
2,Famished Foragers,,Innistrad Midnight Hunt,NM,English,
1,Fan Bearer,,Amonkhet,NM,English,
1,Farbog Boneflinger,,Conspiracy: Take the Crown,NM,English,
3,Farfinder,,Ikoria: Lair of Behemoths,NM,English,
1,"Farideh, Devil's Chosen",,Adventures in the Forgotten Realms,NM,English,
1,Farseek,,Commander 2017,NM,English,
1,Fast // Furious,,Modern Horizons 2,NM,English,
1,Fateful End,,Theros: Beyond Death,NM,English,
3,Fates' Reversal,,Adventures in the Forgotten Realms,NM,English,
1,Favored of Iroas,,Theros: Beyond Death,NM,English,
2,Fear of Death,,Innistrad: Crimson Vow,NM,English,
3,Fearful Villager // Fearsome Werewolf,,Innistrad: Crimson Vow,NM,English,
1,Fearless Pup,,Kaldheim,NM,English,
1,Feaster of Fools,,Modern Horizons,NM,English,
1,Feasting Troll King,foil,Throne of Eldraine,NM,English,
1,Felhide Minotaur,foil,Theros,NM,German,
1,Fell the Mighty,,Commander 2017,NM,English,
2,Fell the Pheasant,,Throne of Eldraine,NM,English,
2,Feral Abomination,,Core Set 2020,NM,English,
2,Feral Invocation,,Core Set 2020,NM,English,
2,Ferocious Tigorilla,,Ikoria: Lair of Behemoths,NM,English,
2,Fertilid,,Ikoria: Lair of Behemoths,NM,English,
1,Festercreep,,Commander 2016,NM,English,
2,Festival Crasher,,Innistrad Midnight Hunt,NM,English,
2,Feywild Trickster,,Adventures in the Forgotten Realms,NM,English,
3,Field Research,,Zendikar Rising,NM,English,
3,Fierce Retribution,,Innistrad: Crimson Vow,NM,English,
1,Fiery Fall,foil,Modern Masters 2015,NM,English,
2,Fiery Fall,,Conspiracy: Take the Crown,NM,English,
1,Fight with Fire,,Dominaria,NM,English,
2,Final Death,,Theros: Beyond Death,NM,English,
1,Final Flare,,Theros: Beyond Death,NM,English,
1,Finale of Revelation,,War of the Spark,NM,English,
1,Find the Path,,Adventures in the Forgotten Realms,NM,English,
3,Finishing Blow,,Core Set 2021,NM,English,
1,Fire Elemental,,Core Set 2020,NM,English,
1,Fire Prophecy,,Ikoria: Lair of Behemoths,NM,English,
1,Firesong and Sunspeaker,,Buy-a-Box Promos,NM,English,
1,"Firja, Judge of Valor (Showcase)",foil,Kaldheim,NM,English,
1,Flame Spill,,Ikoria: Lair of Behemoths,NM,English,
1,Flames of the Firebrand,,Magic 2013,NM,English,
1,Flames of the Firebrand,foil,Magic 2013 Core Set,NM,English,
1,Flametongue Yearling,,Modern Horizons 2,NM,English,
1,Flare of Faith,,Innistrad Midnight Hunt,NM,English,
2,Flip the Switch,,Innistrad Midnight Hunt,NM,English,
3,Floodhound,,Modern Horizons 2,NM,English,
1,Floodhound (Showcase),,Modern Horizons 2,NM,English,
1,Floriferous Vinewall,,Dominaria United,NM,English,
1,Flourishing Hunter (foil),foil,Innistrad: Crimson Vow,NM,English,
2,Flourishing Strike,,Modern Horizons 2,NM,English,
1,Flower // Flourish,,Guilds of Ravnica,NM,English,
1,Flowstone Infusion,,Dominaria United,NM,English,
1,Flowstone Kavu,,Dominaria United,NM,English,
1,Flummoxed Cyclops,,Theros: Beyond Death,NM,English,
1,Flumph (Extended Art),,Adventures in the Forgotten Realms,NM,English,
2,Flunk,,Strixhaven: School of Mages,NM,English,
1,Flutterfox,,Throne of Eldraine,NM,English,
1,Flycatcher Giraffid,,Ikoria: Lair of Behemoths,NM,English,
5,Fodder Tosser,,Modern Horizons 2,NM,English,
1,Foor the Familiy,,Streets of New Capenna,NM,English,
3,Forbidden Friendship,,Ikoria: Lair of Behemoths,NM,English,
2,Forced Landing,,War of the Spark,NM,English,
1,Foreboding Fruit,,Throne of Eldraine,NM,English,
1,Forerunner of Slaughter,,Battle for Zendikar,NM,English,
1,Forgotten Ancient,,Commander 2015,NM,English,
1,Forgotten Cave,,Commander 2015,NM,English,
1,Fortify,,Time Spiral Remastered,NM,English,
1,Fortifying Provisions,,Throne of Eldraine,NM,English,
1,Fortress Crab,,Core Set 2020,NM,English,
1,Foul Play,,Innistrad Midnight Hunt,NM,English,
1,Foul Watcher,,Modern Horizons 2,NM,English,
2,Founding of the Third Path,,Dominaria United,NM,English,
2,Foundry Helix,,Modern Horizons 2,NM,English,
1,Fountain of Ichor,,Modern Horizons,NM,English,
4,Fractal Summoning,,Strixhaven: School of Mages,NM,English,
1,Freelance Muscle,,Streets of New Capenna,NM,English,
2,Frenzied Raptor,,Ikoria: Lair of Behemoths,NM,English,
1,Frilled Sea Serpent,,Core Set 2020,NM,English,
2,Frillscare Mentor,,Ikoria: Lair of Behemoths,NM,English,
4,Frost Bite,,Kaldheim,NM,English,
2,Frost Breath,,Core Set 2021,NM,English,
1,Frost Lynx,,Ikoria: Lair of Behemoths,NM,English,
4,Frost Trickster,,Strixhaven: School of Mages,NM,English,
1,Frostburn Weird,,Return to Ravnica,NM,English,
2,Frostpeak Yeti,,Kaldheim,NM,English,
3,Frostveil Ambush,,Ikoria: Lair of Behemoths,NM,English,
2,Frostwalla,,Modern Horizons,NM,English,
1,Fruit of Tizerus,,Theros: Beyond Death,NM,English,
1,Fry,foil,Core Set 2020,NM,English,
2,Fully Grown,,Ikoria: Lair of Behemoths,NM,English,
3,Fuming Effigy,,Strixhaven: School of Mages,NM,English,
2,Funeral Longboat,,Kaldheim,NM,English,
2,Funnel-Web Recluse,,Modern Horizons 2,NM,English,
1,Furious Rise,,Theros: Beyond Death,NM,English,
1,Furious Rise,,Core Set 2021,NM,English,
2,Furor of the Bitten,,Core Set 2021,NM,English,
1,Fyndhorn Elder,,Ice Age,MP,English,
1,Gaea's Might,,Dominaria United,NM,English,
3,Gale Swooper,,Core Set 2021,NM,English,
3,Galedrifter,,Innistrad Midnight Hunt,NM,English,
1,Galvanic Blast,,Scars of Mirrodin,HP,Russian,
1,Galvanic Iteration,foil,Prerelease Cards,NM,English,
1,Galvanic Relay,foil,Modern Horizons 2,NM,English,
3,Garbage Fire,,Conspiracy: Take the Crown,NM,English,
2,Garenbrig Carver,,Throne of Eldraine,NM,English,
1,Garenbrig Paladin,,Throne of Eldraine,NM,English,
1,Garenbrig Squire,,Throne of Eldraine,NM,English,
3,Gargadon,,Modern Horizons 2,NM,English,
1,"Garna, the Bloodflame",,Dominaria,NM,English,
1,"Garna, the Bloodflame",foil,Dominaria,NM,English,
3,Garrison Cat,,Ikoria: Lair of Behemoths,NM,English,
1,Garruk's Companion,,Magic 2011,NM,English,
2,Garruk's Gorehorn (Showcase),,Core Set 2021,NM,English,
1,Garruk's Uprising,foil,Core Set 2021,NM,English,
3,Gathering Throng,,Streets of New Capenna,NM,English,
1,Gavony Silversmith,,Innistrad Midnight Hunt,NM,English,
4,Gavony Trapper,,Innistrad Midnight Hunt,NM,English,
1,Geistwave,,Innistrad Midnight Hunt,NM,English,
1,Geothermal Kami,,Kamigawa: Neon Dynasty,NM,English,
1,"Ghave, Guru of Spores",,Commander 2016,NM,English,
1,Ghirapur Aether Grid,,Magic Origins,NM,English,
1,Ghirapur Guide,,Kaladesh,NM,English,
1,Ghostblade Eidolon,,Commander 2015,NM,English,
1,Giant Dustwasp,,Time Spiral Remastered,NM,English,
2,Giant Growth,,War of the Spark,NM,English,
3,Giant Ox,,Kaldheim,NM,English,
1,Giant Solifuge,,Eternal Masters,NM,English,
1,Gideon's Lawkeeper,,Modern Masters 2017,NM,English,
1,Gideon's Phalanx,,Prerelease Cards,NM,English,
2,Gideon's Sacrifice,,War of the Spark,NM,English,
1,Gideon's Triumph,,War of the Spark,NM,English,
1,Gift of Strength,,Theros: Beyond Death,NM,English,
3,Gilded Light,,Modern Horizons,NM,English,
1,Gilt-Blade Prowler,,Modern Horizons 2,NM,English,
1,Girdr Goons,,Streets of New Capenna,NM,English,
1,"Gisela, Blade of Goldnight",,Commander 2015,NM,English,
1,Glamorous Outlaw,,Streets of New Capenna,NM,English,
2,Glaring Aegis,,Core Set 2020,NM,English,
1,Glass Casket,,Throne of Eldraine,NM,English,
1,Glimmer Bairn,,Modern Horizons 2,NM,English,
3,Glimmerbell,,Ikoria: Lair of Behemoths,NM,English,
3,Glinting Creeper,,Modern Horizons 2,NM,English,
1,Glittering Frost,,Kaldheim,NM,English,
1,Glittering Lion,,Prophecy,MP,English,
2,Glittermonger,,Streets of New Capenna,NM,English,
3,Gloom Pangolin,,Ikoria: Lair of Behemoths,NM,English,
1,Gloom Sower,,Core Set 2021,NM,English,
1,Gloom Stalker,,Adventures in the Forgotten Realms,NM,English,
2,Glory Bearers,,Theros: Beyond Death,NM,English,
2,Glottonous Guest,,Innistrad: Crimson Vow,NM,English,
1,Glowstone Recluse (Alternate Art),,Ikoria: Lair of Behemoths,NM,English,
4,Gluttonous Slug,,Modern Horizons,NM,English,
2,Gnoll Hunter,,Adventures in the Forgotten Realms,NM,English,
1,Gnoll Hunter (Showcase),,Adventures in the Forgotten Realms,NM,English,
5,Gnottvold Recluse,,Kaldheim,NM,English,
1,Go for Blood,,Ikoria: Lair of Behemoths,NM,English,
3,Goblin Assailant,,War of the Spark,NM,English,
2,Goblin Assault Team,,War of the Spark,NM,English,
1,Goblin Balloon Brigade,,Conspiracy: Take the Crown,NM,English,
1,Goblin Banneret,foil,Guilds of Ravnica,NM,English,
2,Goblin Bird-Grabber,,Core Set 2020,NM,English,
2,Goblin Champion,,Modern Horizons,NM,English,
1,Goblin Electromancer,,Commander 2015,NM,English,
1,Goblin Heelcutter,,Fate Reforged,NM,English,
1,Goblin Picker,,Dominaria United,NM,English,
1,Goblin Racketeer,,Conspiracy: Take the Crown,NM,English,
1,Goblin Tunneler,,Conspiracy: Take the Crown,NM,English,
1,Goblin War Paint,foil,Magic 2012 Core Set,NM,English,
1,Goblin Warchief (2016),,FNM Promos,NM,English,
3,Goblin Wizardry,,Core Set 2021,NM,English,
2,Gods' Hall Guardian,,Kaldheim,NM,English,
1,Golden Ratio,,Strixhaven: School of Mages,NM,English,
1,Golden-Tail Disciple,,Kamigawa: Neon Dynasty,NM,English,
2,Goldmaw Champion,,Kaldheim,NM,English,
1,Goldmire Bridge,,Modern Horizons 2,NM,English,
1,Golgari Charm,,Return to Ravnica,SP,English,
1,Golgari Charm,,Commander 2015,NM,English,
1,Golgari Findbroker,,Ravnica Allegiance,NM,English,
1,Golgari Rotwurm,,Modern Masters 2017,NM,English,
1,Golgari Signet,,Commander 2015,NM,English,
4,Gouged Zealot,,Modern Horizons 2,NM,English,
2,Graceful Restoration,,Modern Horizons 2,NM,English,
1,Grapeshot,,Time Spiral,SP,English,
2,Grasp of Darkness,,Core Set 2021,NM,English,
1,Grave-Shell Scarab,,Ravnica: City of Guilds,NM,English,
1,Graveyard Shift,,Streets of New Capenna,NM,English,
1,Great Hall of Starnheim,foil,Kaldheim,NM,English,
1,Great Oak Guardian,,Commander 2015,NM,English,
5,Greater Sandwurm,,Ikoria: Lair of Behemoths,NM,English,
1,Greater Sandwurm,,Amonkhet,NM,English,
2,Greenwood Sentinel,,Core Set 2020,NM,English,
1,Griffin Protector,,Dominaria United,NM,English,
1,Griffin Sentinel,,Core Set 2020,NM,English,
1,Grim Bounty,,Adventures in the Forgotten Realms,NM,English,
1,Grim Draugr,,Kaldheim,NM,English,
1,Grim Guardian,foil,Journey into Nyx,NM,English,
1,Grim Initiate,,War of the Spark,NM,English,
2,Grimdancer,,Ikoria: Lair of Behemoths,NM,English,
1,Grinning Ignus,,Strixhaven: School of Mages,NM,English,
1,Grip of Phyresis,,Commander 2016,NM,English,
2,Grisly Ritual,,Innistrad: Crimson Vow,NM,English,
2,Grizzled Outrider,,Kaldheim,NM,English,
1,Grizzly Ghoul,,Innistrad Midnight Hunt,NM,English,
3,Grotag Bug-Catcher,,Zendikar Rising,NM,English,
1,Groundswell,,Duel Decks: Zendikar vs. Eldrazi,SP,English,
1,Growth Cycle,,Core Set 2020,NM,English,
1,"Grusilda, Monster Masher",,Unstable,NM,English,
2,Gryff Rider,,Innistrad: Crimson Vow,NM,English,
1,Gryffwing Cavalry,,Innistrad: Crimson Vow,NM,English,
2,Guardian Gladewalker,,Kaldheim,NM,English,
2,Guardian Kirin,,Modern Horizons 2,NM,English,
1,Guardian Project,,Ravnica Allegiance,NM,English,
1,Guardians of Oboro,,Kamigawa: Neon Dynasty,NM,English,
2,Guild Globe,,War of the Spark,NM,English,
1,Gurmag Drowner,,Dragons of Tarkir,NM,English,
4,Gust of Wind,,Ikoria: Lair of Behemoths,NM,English,
1,"Gyrus, Waker of Corpses",foil,Commander 2018,NM,English,
1,Hackrobat,,Ravnica Allegiance,NM,English,
1,Hackrobat,,Ravnica Allegiance,NM,English,
2,Hagi Mob,,Kaldheim,NM,English,
1,Hagra Constrictor,,Zendikar Rising,NM,English,
1,Half-Elf Monk,,Adventures in the Forgotten Realms,NM,English,
1,Hall Monitor,,Strixhaven: School of Mages,NM,English,
1,Halo Scarab,,Streets of New Capenna,NM,English,
2,Hammerhand,,Dominaria United,NM,English,
1,Hampering Snare,,Ikoria: Lair of Behemoths,NM,English,
1,Hanweir Lancer,,Modern Masters 2017,NM,English,
1,"Hapatra, Vizier of Poisons",,Amonkhet,NM,Japanese,
1,"Harald, King of Skemfar",,Kaldheim,NM,English,
1,Hard Evidence,,Modern Horizons 2,NM,English,
1,Harmonize,,Modern Masters 2017,NM,English,
3,Harvesttide Infiltrator // Harvesttide Assailant,,Innistrad Midnight Hunt,NM,English,
1,Harvesttide Infiltrator // Harvesttide Assailant (Showcase),,Innistrad Midnight Hunt,NM,English,
2,Harvesttide Sentry,,Innistrad Midnight Hunt,NM,English,
2,Haughty Djinn,,Dominaria United,NM,English,
2,Haunting Figment,,Dominaria United,NM,English,
1,Havoc Festival,,Return to Ravnica,NM,English,
1,Headless Specter,,Modern Horizons,NM,English,
1,Heart of Kiran,,Aether Revolt,NM,English,
2,Heartfire,,War of the Spark,NM,English,
2,Heated Debate,,Strixhaven: School of Mages,NM,English,
3,Hedgewitch's Mask,,Innistrad Midnight Hunt,NM,English,
1,Hedron Archive,,Battle for Zendikar,SP,English,
3,Heightened Reflexes,,Ikoria: Lair of Behemoths,NM,English,
1,Heir of the Ancient Fang,,Kamigawa: Neon Dynasty,NM,English,
1,Heir of the Wilds,foil,Khans of Tarkir,NM,English,
1,Heirloom Blade,,Commander 2017,NM,English,
1,Heirloom Mirror // Inherited Fiend,,Innistrad Midnight Hunt,NM,English,
3,Helica Glider,,Ikoria: Lair of Behemoths,NM,English,
2,Heliod's Pilgrim,,Theros: Beyond Death,NM,English,
1,Hell Mongrel,,Modern Horizons 2,NM,English,
1,Helldozer,,Ravnica,MP,English,
1,Henge Walker,,Throne of Eldraine,NM,English,
1,Herald of Anguish,,Aether Revolt,NM,English,
3,Herald of the Dreadhorde,,War of the Spark,NM,English,
1,Herald of the Hoest,,Commander 2015,NM,English,
1,Herald of Torment,,Born of the Gods,NM,English,
1,Herd Migration,,Dominaria United,NM,English,
1,Hero of the Games,,Theros: Beyond Death,NM,English,
1,Heroic Charge,,Dominaria United,NM,English,
1,Hexbane Tortoise,,Dominaria United,NM,English,
1,Hidetsugu Consumes All // Vessel of the All-Consuming,,Kamigawa: Neon Dynasty,NM,English,
1,Hired Heist,,Conspiracy: Take the Crown,NM,English,
2,Hoard Robber,,Adventures in the Forgotten Realms,NM,English,
2,Hobblefiend,,Core Set 2021,NM,English,
1,Hobbling Zombie,,Innistrad Midnight Hunt,NM,English,
1,Hobgoblin Captain,,Adventures in the Forgotten Realms,NM,English,
2,Hold for Ransom,,Streets of New Capenna,NM,English,
2,Honey Mammoth,,Ikoria: Lair of Behemoths,NM,English,
3,Honor the God-Pharaoh,,War of the Spark,NM,English,
1,Hooded Brawler,,Amonkhet,NM,English,
1,Hookhand Mariner // Riphook Raider,,Innistrad: Crimson Vow,NM,English,
5,Horizon Seeker,,Kaldheim,NM,English,
1,Hound Tamer // Untamed Pup (Showcase),,Innistrad Midnight Hunt,NM,English,
1,Hour of Eternity,,Prerelease Cards,NM,English,
5,Howl of the Hunt,,Innistrad Midnight Hunt,NM,English,
1,Humble Defector,,Commander 2016,NM,English,
2,Humble Naturalist,,Ikoria: Lair of Behemoths,NM,English,
2,Hungry Ridgewolf,,Innistrad: Crimson Vow,NM,English,
1,Hunt the Weak,,Kaladesh,NM,English,
2,Hunter's Edge,,Core Set 2021,NM,English,
1,Hunting Pack,,Modern Horizons 2,NM,English,
1,Hurler Cyclops,,Dominaria United,NM,English,
1,Hurloon Battle Hymn,,Dominaria United,NM,English,
1,Hypothesizzle,,Guilds of Ravnica,NM,English,
1,Hyrax Tower Scout,,Theros: Beyond Death,NM,English,
2,Iceberg Cancrix,,Modern Horizons,NM,English,
3,Icehide Troll,,Kaldheim,NM,English,
1,Igneous Cur,,Core Set 2021,NM,English,
2,Igneous Elemental,,Modern Horizons,NM,English,
1,Illusionary Informant,,Conspiracy: Take the Crown,NM,English,
1,Illusionist's Gambit,,Commander (2013),NM,English,
1,Illustrious Historian,,Strixhaven: School of Mages,NM,English,
4,Immersturm Raider,,Kaldheim,NM,English,
4,Immolation,,Innistrad Midnight Hunt,NM,English,
1,Immolation Shaman,,Ravnica Allegiance,SP,English,
1,Impeccable Timing,,Kaladesh,NM,English,
2,Impede Momentum,,Dominaria United,NM,English,
1,Imperial Subduer (Showcase),,Kamigawa: Neon Dynasty,NM,English,
2,Imposing Vantasaur,,Ikoria: Lair of Behemoths,NM,English,
2,Impostor of the Sixth Pride,,Modern Horizons,NM,English,
1,Imprisoned in the Moon,,Eldritch Moon,NM,Japanese,
3,Improvised Weaponry,,Adventures in the Forgotten Realms,NM,English,
2,Impulse,,Dominaria United,NM,English,
1,In Thrall to the Pit,,Dominaria United,NM,English,
1,Incendiary Oracle,,Theros: Beyond Death,NM,English,
1,Increasing Devotion,,Duel Decks: Blessed vs. Cursed,NM,English,
1,Incriminate,,Streets of New Capenna,NM,English,
2,Indomitable Will,,Theros: Beyond Death,NM,English,
1,Indrik Stomphowler,,Commander 2015,NM,English,
1,Indulgent Tormenter,,Magic 2015 Core Set,NM,English,
2,Infernal Pet,,Kaldheim,NM,English,
1,Infuriate,,Theros: Beyond Death,NM,English,
1,Inga Rune-Eyes,,Kaldheim,NM,English,
1,Inga Rune-Eyes (Showcase),foil,Kaldheim,NM,English,
1,Inga Rune-Eyes (Showcase),foil,Kaldheim,NM,English,
1,Ingenious Infiltrator,foil,Modern Horizons,NM,English,
1,Ingenious Skaab,,Eldritch Moon,NM,English,
2,Inscribed Tablet,,Dominaria United,NM,English,
1,Inscription of Insight,,Zendikar Rising,NM,English,
1,Inscription of Ruin,foil,Prerelease Cards,NM,English,
2,Inspired Charge,,Core Set 2020,NM,English,
2,Inspiring Bard,,Adventures in the Forgotten Realms,NM,English,
2,Inspiring Captain,,Core Set 2020,NM,English,
1,Into the Night,,Innistrad: Crimson Vow,NM,English,
1,Into the Void,,Conspiracy: Take the Crown,NM,English,
2,Intrepid Outlander,,Adventures in the Forgotten Realms,NM,English,
3,Introduction to Annihilation,,Strixhaven: School of Mages,NM,English,
3,Invading Manticore,,War of the Spark,NM,English,
1,Inventive Iteration // Living Breakthrough,foil,Prerelease Cards,NM,English,
1,Investigator's Journal,,Innistrad: Crimson Vow,NM,English,
1,Invoke the Divine,,Kaldheim,NM,English,
1,Iroas's Blessing,,Theros: Beyond Death,NM,English,
1,Iron Apprentice,,Kamigawa: Neon Dynasty,NM,English,
3,Iron Bully,,War of the Spark,NM,English,
2,Iron Verdict,,Kaldheim,NM,English,
2,Ironclad Krovod,,War of the Spark,NM,English,
1,Ironshell Beetle,foil,Guilds of Ravnica,NM,English,
1,"Ishai, Ojutai Dragonspeaker",foil,Commander 2016,NM,English,
1,It of the Horrid Swarm,,Eldritch Moon,NM,English,
1,Ivory Giant,,Time Spiral Remastered,NM,English,
